Text,Emotion
Sq ki paring for physics and long too,neutral
Yar itne msgs kye to hen ,disgust
Mtlb k advisory committee boht tez cheez a aur prhde v hai ne,surprise
Main to pahlay bhe ni soch raha tha :),joy
mje ni lgta k tm ud krti ho,pessimism
G g q k apka mbl virus ju blok krta hai !!! :-P ,trust
Shukar wali bat he 	 Nankana sb. Colege ka bhai hspitl ha . Tamardari k ly rokna. ,neutral
Yr fn ne utha ry kamati ne lainy,disgust
yqr ye tire dalwa dalwa kr thak gya hu,anger
Sorry 9 tak 30 mints pehle exam room ma jana hai or 10 baje test start hona hai,optimism
Han g gr a gai he kal ka ,neutral
Haaan g haaan g ap to chahty e yh ho naa :'( :'( ,disgust
Thek hy hum aty hn thori dair tk,optimism
Yar noc tu tb chahiye hota agar hum kisi aor uni ma bhi sth parh rhy hon,neutral
core 2 due tu 8 ya 9 mein aram sy acha fit milyga ,optimism
Phr mai reply nae kru ga,anger
wo b thk hn hm aj e aye hn,neutral
Me pucha tha kdr hh . .  Rply ni kia !! Me khra dykhta b rha tha nb .  Guru b sth e tha !!,disgust
Je han ho ge jo 2 bjy sy pehly hain wo sb tell waqas also plz,optimism
Yar bike kharab ho gai ay rastay ch pankchur lagwa ky ana wan....,sadness
Usko ak logo bna k register krwana hy then us society k nam sy ak bank account ..  ,neutral
Yr mene colg se abi ni leya saturaday ko jama krwa d gy pka,optimism
c0mplete answrs ni hn. mane or b pucha kch,neutral
mam iqra sy pouch ly na,trust
Wo to abi b pagal e adhi duniya! Meri ek bst frnd ko ye ek wahid hero e pasand e!,love
shair na send kr koi msg kr,disgust
pta nh q itni nend arhi ,surprise
Han mai b apni pori koshsh kro ga.,optimism
mjhe to ati d nh btyn tmhx btaxa tha,neutral
Glacier.... :'( :'( :'( ye ziadti hai.... Zeeshan Rehman,anger
GD artist nahi ha koi bhai,pessimism
"Han In sha  ALLAH aaon  ga,,,",anticipation
Ye koe sonay ka time hai,disgust
math ka wo home wrk h ik page pa kr da,trust
Hahahahahaha.... Thank u so much yar :),joy
Yr bhaj I3 would b expansive... i suggeat ky c2d may may processer acha lagwa loen...,pessimism
Umer Abdullah se teri bt hui hai?,anticipation
"Haha, kher personality wise or intelligence wise to bnda kamal th baaqi uske damagh pe chot jo aagai t kaid mein rehte hue :P :D",joy
Yr mohsin tu ne huzaifa ki taraf ana hai kya,trust
Yr pf ki basic ka ni pta to baqi kese samaj ay ka,fear
"Muje VU me log buht tang krty hen
Hr koi poochta he k tm ne goorey chittey ho and Tmhara baby look he
Tmhari buht girl friends hongi",disgust
OK abhi mae perh raha hoon Raat ko Bta doon ga,optimism
Oh ho waisa hamari cl alaw ha :-P ,joy
or quran e pak ab bawazo he prta he na?,anticipation
Kam kia ha? Koi ches reh gai ha?,anticipation
Yar tojhy mughalpura wali side par koi kam nhi ,anticipation
Ok. Wil do in my office after zohar,optimism
Mam bta rai thi ab withdraw ho ga drop nai ho sakta until or unless cng ya b advisor na sign karai,neutral
Me to jani kafi away hn pindi se.,love
Yehi mdl twn ma he khai b mil jaye acha sa,optimism
a ja yr me bhr ho a bi ja,trust
"Yes I didnt noticed it, it was hidden behind new messages",fear
"Hahaha 
Wo jese bht Moti thi na experience tha usay",joy
Hn cmplt kr k a gya tha mai,neutral
Yr ajow m w8 kr ra hn,neutral
koi kam hy ? m 10:45 tak ajao ga uni,optimism
yarrr bike papa k gy han ma ni aaa skta fahad,fear
Oye us se b poch lena ek br..yad hay usko nai pasand thaa ? :/,trust
khany k liyee kuch lana hy tery liyee,neutral
Yar try ni. Lga dein bs.,trust
Saray mou pe phail jaye giii,neutral
May i come for zohar at 1:15. Hazrat malik sb is available after zohar and we wil leave after zohar insha Allah,trust
"kal hai I.A 5 pm 
plz pray for the best.",optimism
Yehe tw msla hai k stdy bhe paar0o hai,pessimism
network problem .  kab ka kia h sbko late pohancha ksi ko jaldi phnch gya,disgust
Us time meri man laita na ... Likh deta,sadness
Memona kb tk ana ha me nahny ja ri hun,anticipation
Kuj nai janb hna ki aee,neutral
Yr de ja mein ne b bnane hai assignment,trust
"baji,

I have removed some unwanted software on your laptop
I have also turned off many unwanted software at Windows Startup, you can launch them whenever you want
I have also hidden some apps from Start screen to load Windows quickly

If there is anything else you want to be removed or added please tell me",neutral
"Yar zoo,lawrence garden maghrib tym band ho jaty hn in k elawa dekh lo kahn jayn...fortress hy wahn ronak kafi hoti hy wo dekhny ja skty hn rat ko ya phr kahi or ka dekh lo...",anticipation
"Main office ke aik dinner mein houn... 
10:30 tak ghar pohanchoun ga... Insha Allah",optimism
Neend nahi aa rahi. Waise bht its prayer time here.,neutral
Yar try ni. Lga dein bs.,trust
I phne ke sheshkay lea ja raha ha :-P ,joy
Yar haar gya hai bc six pe.six,anger
Yar  Maine fee a hi tak Jamaica nahi krai 2000 fine ho gear hai to fine maaf kra sakta hai,neutral
kaha ha tu ma a raha ho,neutral
Sun me 9.45 par aon ga agar farig hoa to chalen mere sath ok ? ,anticipation
Yar usman ko keh na kuch kar plzzzzzzzzzz,neutral
Han mil kar yar dykna ha,optimism
"Tw tu sach phelaa,smjha sbko ..campaign mai apne larko ko sepr8ly har claxx k main bnd0o k pax bhej aur attrct kr",trust
Hafiz waqas ho ya bilal k sath university parta hon mai,neutral
yr mrx lye cel arng kr k0i acha sa n sasta sa. js ma whatsapp zar0or h,trust
Hstel a gy ho ya zakwan pas hn,anticipation
Yar plz send me previous address.  of ur township house,trust
"Hadd ho gye...
ksi ko izzat raas nh…",disgust
"weekend pe try kr lete hn sb, phir mon ko last lec mein mil k complete krlenge, sahi?",optimism
Mama keh rhi hain jo jo chez bch jae usay fridge ma rakh dena,neutral
Mechanical engineering ka test diya tha ?,anticipation
Kal subho chaltu ain phrr . .  9 bjy tak uni IA . .  Sai ay???,trust
Yr wo nahi poucta kuch b ,neutral
Ghusa na krna bs sialkot akar aisa hi hta ha :-(,sadness
Mjay hd say Zyada guasa ha tm pay agay say dant nikal rhi ho tm,anger
Mere me card nae hai to me kahan se dn ga . . kisi k bluetooth wala mob le aen us se mjse le lein,neutral
Yet not decided k treat kon de ga,pessimism
"Yara main NY abhi  parhy hain  msg's.!! Ok dy  jaon  ga  book,,,",optimism
If u want to ask any questions regarding the integrity of Akhuwat plz dont hesitate to contact..,neutral
Hamara b ni ara ptcl ki trf se masla h,disgust
Pury johar town mae 3G ki coverage hi nahi hy,sadness
"Han bta .
Yar main hr time hath Mobile ly k nahi betha huya",anger
Yar us nay aj hostels visit karanay hn uni of sargodha walon ko. Wo us chaker mn bizi hn. Thori dair ay thay bus,neutral
Yr is mahn roz ka kam roz krna hota he or bageer btaye test hotay hain or final main numbers lagatay hain test k.,fear
Seriously? Awe you are sweet ^_^,surprise
"Yar main smjhe kehny laga hai k saturday on hai,",neutral
Yar acer kae bi achae hy laptop,neutral
"oee bhookh bardasht hoojati hai ..
Jo mujhay aa raha hai Wo nahi hota :P...... Yaar raat Ko jaldi soutay na....phelay ka pata tha jaldi Jana hai",joy
phrrrrrr bhai bttt kryn gay na,neutral
G tawakal ki shop pe xhaye pi raha bag sath hain bs adeel chorne jaye ga gujrat,trust
Hamza se kahein abi la dy..itny dino ka keh rai hon usko,trust
Ni rehna da tu aor usko kahe na,fear
Hmmmm.... Aur suna milta hai kisi class fellow se...??? Koe dost wagera...???,anticipation
Its ok.. No issue at all ,neutral
Tuja btaya to ha gosth Sara bant dia ha,neutral
vitz bi bohet paisey khati hy boss,fear
Zaroor ... me ap k saath hon.,optimism
tery ac me paisey h ?,neutral
Yr home tusin walay ka number da,trust
Imprv sun kr zror khushi hoi.,joy
Salam! Kesi o??? Sone to nae lgi???,neutral
nhi nhi ap bike py jao bhai maza ata ha na bike py.. .aj ja k dikhao zra ahahhaha,joy
Yar me class me hu abi 3 bje ke bd hi ai agar ana huva.,neutral
Min v idher he ho. Tm kis side phar baethy ho.,neutral
oyee pics tou inbox kr dy meri sari achi editting kr k yaa phr aisy ee,trust
Yar us na muja is Bara ma kuch b nahi bataya,neutral
Thursday ko jana hy bhai ny yani kal jana,optimism
Tm n kb Colg Jana an?,neutral
Nai yaar note laga ha nazar araha ha,anticipation
tjhe ks ny pyar diya? tu agy kya chahta h k tjhe agy life ma kxa chahxe?? ,love
Hamein bhi same kam mila ha ,neutral
Yar kese teachers mily han tujhe,neutral
Yarw notes ki pic send kar dayi mujhay,trust
kya hain halaat? wo marny wali h ya tu? ya ye dunya or is dunya ka karwaan ruk jana h?,fear
"Nhi mje nhi lgta, WO ek e esa namuna th bsss :D",joy
Yr ascii value find krni hy words ki bs yehi kaha tha,neutral
Munni badnam hoi darling tere liye ,joy
Yr tu pesy kab dy ga ye bta mjy..!!!,anger
Msng ur stupid and conflicting statements :-),joy
Yar aj chkar lga ka jai,optimism
Sun k kafi saad rafiq hoa,neutral
"Yar bhai se bt krlay, preshan hai wo",trust
Goom gye na such sun kar ,neutral
Or muje b inform kr dena time pe,trust
Jo abi bnai he m chk krn tmri id,trust
Yar poori tube e kharab a ton pedal e a ja.,sadness
Mera Bhi Aik Subject Rehta Hai Mera 3.07 CGPA Ja Rha Hai.,neutral
Hn hn zaror ye raz hi rahe ga,optimism
English ke teacher na koi kam diya tha..?,trust
Tu ap ms lab me aa k lien le...,neutral
"Haha han :P mene to dua ki t sheesha toot'ta, lkn afsos haya b aakhir pakistani cricketers ki trha e t :D",joy
bhai sory agr aj meri koi bat buri lagi ho,sadness
Thanks for that. But I have a great,joy
Daby treat kb day raha ha ,anticipation
G han sb apne ghar hty hn,neutral
Hain tm shareef me kya sun raha hn ye,surprise
me theak thak shukr allsh ka,joy
"Main Rohaan k pass aya  howa tha  agar mil sakta  hai to aaon Teri trfff,??",trust
Han yr kam h thora wo net waly ny ana hai..,neutral
ma ny nashta ly liya ha.,neutral
Me bas vela ese e uni me masrroof,neutral
Han lahore lion b ha hafeez gando captain ha,disgust
Yar class ka kia scene hay??,anticipation
Yes but Umair lives near Robocave.He can get it more easily.He bought an xbee for our ptoject today too.I'll ask him to get more.,trust
I m in office. Plz come when u get free,neutral
Ik algo wala bola tha or dusra knsa q tha bhala???,trust
"U welcome . Bus ap dosry k liye dua kartay rahain , yahan say msgs ka silsala chalta rahy ga :-D",optimism
Mdl twn k halat thk ha bas barish ki vja sy kafi jgO pr pani ha..,disgust
"Yar! Paper Jis Room Me Ho, Us Room Ka No. Mujey SMS Kar K Bta Dena Me Is Time Raste Me Hun.",trust
Phr cr k pass pori classs k numbr hain usny sab ko msg kya almst dphr 2 bjy presntatn reminder msg dya sab ko tw many phr usy kaha k no group n dun knw abt presntatn thn adjust krwaya usny mjhy ak grp main n many presntatn dy di 11th hour main presntatn prepare nae kr ski tw sir smjh gay thy tw unho ny kaha its ok presentatn achi di many :) ,joy
Mein ghousia chk pe khara hon,neutral
Yar bs dermayan mein jma break aye ge,anticipation
"Sir Mughees sy bat hoi hey.
Khata hy sp ni aa rha.
Mangal ko lazmy ai ga or kam ho gai ga final bat hy",trust
Waqai.. Lkn mje umeed t esi nobat nhi aegi,optimism
"Nhe 
Yar aj zra tabyat kuch theak nhe han..",sadness
ni akmal bros ka team ma bht mukam ha,neutral
Yar programming ka lecture sahi Tara pata nai chalta,neutral
Yr larky ko kaha hy wo kal urdu bazar jaye ga to ly aay ga meny b magwai he,trust
Yarw notes ki pic send kar dayi mujhay,trust
Sefi le gya tha bike mere se to,neutral
Yar khubaib bhai se puchna k finance related koi job ho achi. Mery brother in law hen fertilizer me accounts me but unka msla bna hua hy. Gas na hony ki wja se factory bnd ho rahi hy,trust
Tere mind me Mohsing k bary me kia bat ayi ha? K me ne q ni bethaya? :P,trust
Yar bus hui hui ha. breathing issue ho raha ha ajkal kafi. bus dua karna khair khairiat say farigh ho Juan ab to ;),sadness
What the hell are you doing i'm waiting for the call.!,anger
"Hi sweety, how r u ?",love
Main b overview kr rae sir wali slides fr presentation,neutral
Usb ni ha mano. Ab kal dak li.,optimism
Hi mubarik ho g bot bot :),joy
Fer v kuj na kuj te hoye ga na,anticipation
"Pehla generator khrab, phir ac theek krwaua... Phr petrol pa sham ko start ni ho rhe the ",disgust
Khubaib bhai ko sath le k ana hai lazmi,neutral
Cs yarrr....lkn ab 2nd smater ha...First ho gya ha,sadness
Me cmst lhr se kr rha hu,neutral
Yar walana ghanta sai ziada sar khpaya yai tu smjh hi nai aa rai....,pessimism
Mushkil ha q k agr deni hoti to admin waly k sath e dy dety friday ko,pessimism
Okay thank you so much keep me updating...,joy
Yar yatem khny b tO jana ha tjy btaya tO tha,neutral
Me lahore aai v hn..ghr jake ill call u,optimism
koi msla ni hai wsay e,neutral
Me pucha tha kdr hh . .  Rply ni kia !! Me khra dykhta b rha tha nb .  Guru b sth e tha !!,disgust
yqr ye tire dalwa dalwa kr thak gya hu,anger
Yr mam ka mail id bta aj ka English ka,neutral
Sir ap ne meri attendnc mark krni ha yad se ,trust
nh gari py. jana h mama jani mane or nadia bji ny,neutral
Or ap aj kal ktne bjae tk soti hu?,neutral
Yar Kal Possible Nhi Hai Mere Lia.,pessimism
Tw job ya studies start kr ly tu uska kuch soch naa,neutral
bs guzar ri hy life university ki,neutral
Yrr mjy farg hony dy bs 1 bar.,optimism
aj kal k door me leni hy to mehran lo,neutral
Neend ki tablets mat khaya kroo,disgust
ma naha k ata hun...tw phnch,neutral
Yr is main to cnfusin ke bat he ni i think,optimism
Yr waqi in ma koi b management nai ha Tom apna relatives ko kahu name sahi or da,disgust
O ja yar eysa kesy ho skta hy,surprise
No way tu na pehla bhi daina,pessimism
It was fun. Koi bara nahi tha.,joy
"Guyzz mam ne coal ka hmwrk upload to nae kia????,",trust
"Theek o gya, chal chlen phr",neutral
G hafiz sahib zror inshallha lahore lions qualify kre ga.,optimism
Then u hav to purchase a cd for anti virus. Uss mein free b hotay hain kafi. Try that baby,optimism
Ms leading to phd mere khyal se same test hota hai .. dont know ,anticipation
"Yani mazay mai hai sub,
chlo gud ha",joy
Yr us din mazak kr rha tha serious to nai ho gea tha!!,fear
meera to pai separate room hy ,joy
Us se poch k agar koi important kam hato rat 11 bjay tak ajata hu uski taraf,trust
"Nai tm tensi0n na lo mene n0te kia tha lectr me tmy likhwa dn g,",optimism
Han wo khud a jae gi keh rhi thi,neutral
Fawad ne to mjy btaya he ni k woh udr rehta rha ha,disgust
fit ma b or kxa ho rha h?,neutral
"Fit.
Ap sunao .
Aj lhr my bhut bearish hoi hy",disgust
Na g tu ne 25 m krna he to kr wrna kisi or se krwa lnga,neutral
Yar bike kharab ho gai ay rastay ch pankchur lagwa ky ana wan....,sadness
Yara we have to do that project,optimism
Ma b aaya tha thori dyr phly .. Chburji ... Abu g k sath ...  ,neutral
Hamari nazar sae apna ap ku daku gy to pta chal jae ga ku marte ha ap pae.,love
Han kar raha hun enjoyor study zara different he clg sy....,joy
Haan khush ha kal say school jaey ga INSHALLAH.,joy
Vo i.com ka result aaya hai...fsc ka nae,neutral
Han no doubt acha to ho ga but mushaf ma ny sakun sy parhna ha achy mood k sath ur aj kal to mery mood k 12 bjy hoty hain :P,anticipation
aoa sir mera 2 se 5 exam ha..i cant meet you today...becz ma ne late ana ha,anticipation
"Where are you i'm waiting in the hall!
Hurry up..",trust
oh!! mAtlAb k kAl tow bht bUsy hO gE tUm?,surprise
"He says aap k lye last time ta 
Its for fresh students now",sadness
Wo AJ APNE czn ka sat abhi wo kar rhe th jo nai karna chayee th.afsos.,sadness
Wapis kab janay ka plan hay tera,neutral
Time pay aaa jana plz dun b late mjhy aj bht kam hain,trust
Wasy maery to kial mae aram sae nikal jahy gi,optimism
There will be that daily meeting as well,optimism
Ok dear faisal se bat ho gae hai thanks,neutral
Ok. INSHALLAH ALLAH Jald Sehat Aata Kare Ga. :-),optimism
"Yr me thri dair tk puch k btata hun, cnfrm",neutral
ok sab ko sallam di jiye ga sham ko bat hogi,optimism
ahan...wo ewe chakr lgany gy thy..or malik ko sham ka kaha ha ,neutral
Main nay kaha tha k sula hi kara do apni bhabi say bhttt udas ho gya ha yeh dil,sadness
Yr me ne to use kha tha k na jaiee,neutral
tm dono mje confuse krahi ho ab...,disgust
Yr mere father chairman thy zakat commitee k unho ny 6 months pehly resign kr deya tha wohi log i thy k ab merit p zakat ni milti,sadness
Udhar jo saaf baat h tum nahi padh sakty ,fear
Wo pata nahi kb jai gy unko 1 month b nahi howa,neutral
usy kh na ma ny uni jana ha clas ha meri.,neutral
nashta krny ai thy ab ja ry hain,neutral
Ok hm bhi le ker gye thay sir ko treat dene fit k bad.ab jaenge kathay phir sir ko leker,anticipation
Mujy wo fb par send kar do plz,trust
Hn g kia hal ha janab?,neutral
"ni bhai mein waha hi thk hn tu waha a ga mein usama danyal jate hain,",neutral
Fahad saad hun a rahy hyn dalwa dia ha faisal ne petrol,neutral
"bhai coal ma c+
multi ma b+ lag gya ha.",sadness
Wasy ab me tjy kia kho. Busy ho?,anticipation
Name confrm kr ly phly k saif ullah khan ka e account ho ... Mujy msg recive ho jay ga jb wo submit krway ga. ,optimism
Hayeeee krwa ly jaldii sy mera shadi functn atend krny ka dil kr rha hy :p ,joy
wahan b chly jaty hn. gr ka th0ra samaan lana h,neutral
Football match start hone laga tha I guess.,anticipation
Dsa assignment ka pura folder copy ker liya ha,neutral
you people still are on bunk ???,neutral
raaat ko call krta raha ap ne uthayi e nahi,disgust
"Yar asa kro nxt week rkh ...
Ma tm dono ko pick krna",optimism
Q k hstl walo life be kaar hti ha.,sadness
To nae kb thk ana ha.,neutral
Yaaar mein application likha rha hn,neutral
Phr tere tk he thk krta ha.,neutral
"Meri baat e nhi suni, kaha betho lait hojaogi :| sorry :P,",sadness
"Yar main tb busy the, sorry",sadness
achaa phrr  . . .. hmara b room lock nai hai :-P ,joy
Sadia amna se kaho pani ki bottle le aye sath e,trust
"Han yei sochta reht hu
Kya kru aisa",anticipation
Yr aja phr... Jldi aja zra ta k 11:15 tk hm wapis ghr py hon.,neutral
Gesture wala check kro completed ones mein.After completion it got deleted I had to make it all over again.I was like FFFFFFUUUUU,disgust
Usy keh mjy rprt send kr turnitin ki,trust
Dude that s way too much.u r pushing me nw!,anger
"Sir kamran k han aik death h0gai ha, s0o aj clas nae h0ge lekin kal 6 o clck h0ge clas, apko msg mil jaey to mjhe reply krdijega ok ka,",sadness
Hawn as in personal room aesy hy k ak block hy us main 5 rooms hain 4 assistant profesrs k n ak mera hy n ak cabin hy hamary dept ka cordinatr wahan baithta hy,neutral
"O.o oh :P 
To message setting change kr ly na sent items mai jae e na Br Br delete.krty wy okht nai hoti ? :(",surprise
rush to asy ha wahan jasy pata ni free mil rhy hn...lga ayn chkr tw b,disgust
Us ko msg kr ka puch lo kb tak ana ha us ne,trust
"Yar blnc nae ha mere pas 5, 10 share to krdo pckg krna ha warid me, me flat hun",trust
Mein university mein baad mein baat ho gi,optimism
Mera sultan dekh rhe ho aj kal heavy hua wa ha,neutral
Yr to khal wale lb min ha ja.,neutral
Mian sy pooch lay. Us kameeny nay pochly 2 sehri k plans cancel krwai hain. ,disgust
Hmm aa ja n do u have thread?,anticipation
Listening 2 the podcast. .  ur turn?,neutral
"mein nae jana hai subha uni me,",neutral
Yehe ka m smjhta hn ap ko etne etne bt pa guxa q a jata ha etne jaldi na piare j yeh bt the na mujhe bht feel hta ha j g.,anger
Mian sb apne ankhun ko thk kri,neutral
Tmhare account ma paise a gye check kar lo,neutral
Smtime pesy nai hOty aur khany kO b nai hOta kch.. :-(,sadness
Nahi laeqin papa mujhy drop kr sakty hy appi Phoppo kae ghar,neutral
"Hahhaah bri tez hai ... :-P ,",joy
Mein b theek hn yar :),joy
Insaan.ko itna careless b nai hona chahye,disgust
Nani amma passed away in village.,sadness
Rice and wheat aj kal rice ka reason ha tu abu free nai ha.,neutral
Main nikal para hn thokar sy.!!,neutral
kuch nhi yar zara kam kr ra tha assignmnt mili thi TOA ki aj e,neutral
Jummy ka kia plan hai phr?,neutral
"Yara bukhaar tha doctor k pass gya tha ,,,",sadness
Yar walu phn karu net na a ro!,neutral
Me bas vela ese e uni me masrroof,neutral
Patha nahi min khud late hao ga cls min aj.,sadness
Yes sir. What's your prediction for the next semifinal?,neutral
"nae yar tu khod online nae hota sath mein humare ghar mehman aie hue hain to time nae hota,",neutral
Han iA dua krna tm b ..me to krti e hn..behan hti hn uski wahan to rehne ka b shukr hay masla nai usy udr,neutral
Hawn yar maza tw ay ga par kam n mehnat bht krni pary gii competition u knw naa,optimism
Soch le bhai? Bd me mjy na Kahi late aya tu,fear
Yar ye kia kr rahe hn sir :/,disgust
Mian mai teri tarf aa raha hon.,optimism
acha sai sai m ny suna hy 23rd k bd hy,surprise
Yar khubaib bhai se puchna k finance related koi job ho achi. Mery brother in law hen fertilizer me accounts me but unka msla bna hua hy. Gas na hony ki wja se factory bnd ho rahi hy,trust
meri d ma enrol ho gyi ha ccn,neutral
Yr kehty hai 1 ganta lgy ga ho jaye ga thk,optimism
Sochna kia ha jani. Paki bat ha,love
acha. ktni dar ka kam ha.,neutral
joo kr ry acha nai kr ry hoo nd listen mubeen ap ny kaha tha k m tang ajao ga ap sy par ap agai mjh sy tang,anger
"neo lac Bel0w 1 m0nth.
ye do0dh k dibby ka naam h.",neutral
Hm bhe theak shukar ha kya kar rahi the,neutral
Yr home tusin walay ka number da,trust
han ghr m fre e hoti tm,neutral
Sb ko kia kaho gi? :-D,joy
Ok. Bs woi krna h baqi to sahi h sb,neutral
Yar kuch medicines likwani hain so plz bring  prescrition writing pad with u; agar aap k pas na ho tu ali bhai se le ain . kB tak pohnchna hay ?,trust
Tery abay nay kehna ae Clg waly bhi keh rhy hain mat awo clg ye kera clg ha jo 4 bje bula rha ha,disgust
Yup...hamare okara ka board pta nae kio sahiwal hai...no.hi nae dete board wale,disgust
Dr k par jana ha. Meicine leni ha.,neutral
Sir any update? List lgi k ni?,trust
Mera msg mila tha ramzan mubarik wala?????,anticipation
Tu tyri rakh agr aur chahiye howa to:-P ,trust
hmri light gxe h subah ki.,disgust
"Thek hu.,tm kesi ho.?,.n thora late ho gya tha,bt dosre stop se bus le li thi",neutral
GuyZz  sory me lab tasks nae le ski! Agr clas group me upload hn to bta dena!,sadness
Yr mere mobile off ho gaiya tha.tm kidar ho.,neutral
ma tmhy kya kah skta hun blv to tmhy muj pa ha ni...or krni to tm ny apni h mrzi ha na,disgust
m pohnch gaya hn ap k mamo ki kothi par,neutral
"Ne yar, main to kehti hu main buri hu.. ",pessimism
Nii..  Is time Chachu ki shop b bnd a,neutral
Meri bus nikal jaegi please tm zra jldi se ajao bus stop pe,trust
Social worker sahiba kaisi hain ap ??  Ma ny kuch puchna hy related to social work ..  Free ho to btaoo. ,trust
Yaar ab ai hain abi jaan. Aur mera milk shake ka mood hai. :(,sadness
Or suna bisti ki sir nae....paper daety waqt,anticipation
Nai ab to pohnch b gai wapis uni,neutral
tv laga khabar naaak laga hy,joy
Fb mobile messenger pe on e rehti hai,neutral
"Yar wo sirf master of philosphy in mangment sciences me krrwa raha hn,uski 2 year duration ha ur 217800 fee ha ",disgust
Yr m ab ghar ja re,neutral
Han aj arslan hmri traf he ha,neutral
Me fortress aai v hn..agar yahan ho to ajao,neutral
Nahi yr Asi koi bat nahi,neutral
Tm janty tO hO k ma yaha hostlzed hO...,neutral
Yeh ho hi nai skta tm jntay ho ashi tara unhain ,pessimism
"Yara agar UET main tera electrical ya mechanical main ho rhaa hai to phr engineering karni tujhy mery khyaal sy wesy apny apny interest ki baat hoti hai dekh lay aagy,,,",neutral
taira name search nai hota :P,sadness
Yr apki app bn ni gai? :-P ,joy
Me ne nahi khanay daal chawal,disgust
Yr mai aj pasrur ja raha hn.,optimism
ab to wese e barishon ka bahana h :P,joy
Neelam vally dne karo kabhi nai gae sab ko kya msg abhi dne karo baad mao masla hta,anticipation
Irsa rply b kr de behn! Kal ana e tm ne???,disgust
I m at hostel. Plz com,anticipation
Ye wo msg wali assignment ki ha complete,neutral
Sir wil u go for maghrib?,neutral
Sir ne kaha tha chap 2 jo mene parhaya ,neutral
"W a
May you plz email me the details of folder. I cannot find it in dropbox. Wslm",trust
"Yar us ne mail mai likha hai k hm do bnde hain islye paise km kr maine 150 kaha hai manega nae q k kh rha tha dono assignment same hai ar tme kam aik e krna prega diffrent style se to kch nae to main 10000 se neche nae kunga uski tnshn na le
 Is bnde ki ye phli html ki assignment hai ar ye hr br apni ar apne dost ki b krwaega main sari tje dunga bs koshis kri number pure aen",optimism
Nhi ana to bta dy me 1 baje a kar le jata hun lecture ke baad ,trust
Main fahad ka pas aya howa hn khana shayad us ka sath khao,anticipation
Sir likha tha kahin mil nae raha ab usi se puch lain,sadness
Yar mujhay wo app nai mil rahi jo sirf sent sms ka backup banaye ,sadness
Yar i m taking viva.nawaz k hath meri pani ki bottle bhejwa dain on 3 rd floor,trust
Faculty meeting on 16-10-14 (Thursday) at 02:00pm in cs-002,anticipation
Hani jo framework diagram banani ha wo paperwork ha ya software form using some tool?,anticipation
hn phly nh the tu b janta h ma b. larai jo h0e the apni,anger
Han yr ramzan m mai bzi tha tb ap k msgs aty thy mai bad me dekhta tha to rep ni krta tha us k bad ap ne msg e ni kiya itniiii dair se,sadness
Ok see u later. Mein zra kitchen daikh loun.take care :-) ,trust
Hmm is me teri behtri thi.,optimism
Tm asa karo k sim torr do apni aur mob rkh k tm nay karna bi kia ha han ,anger
bahir a jaldi chalty hy me bhr khara hu,trust
Wo just es liye hota hy address ... Check book and ATM card ... Ghr aata hy ... Post k zriye ...  ,neutral
Tere lye ni gya me sachie. Ta k tjy bhok lg jye ,neutral
To n ana kb tk h,neutral
Haaan me gya tha us k pas,neutral
"Nope,abhi flat aaya tha.,n sng sunne lga tha,play pres krne lga n tmhari call attend ho gyi",neutral
Han bhej dy kal leny jaon ga .,trust
"Hy bro,whts up..kahan hai yar,",neutral
Pick n drop kon karay ga ,neutral
Okay..Summary abhi nahi ki .. Summary tu kal jama krwani hai.,neutral
Yr isb b gya ha apply krny,neutral
Ok jo laptop btaya hn un ke prize kya ha?,neutral
Papa keh rahy hy kae telha or ma dono ae sath Sargodha nahi jahy gae ,sadness
Yar wo app tu saray sms ka backup banati ha. Sent sms ka tarika bata de,trust
Ye nhe pta mjhe wo kb ay ga,pessimism
G . Wo banda keh to rha h.  ,anticipation
Me aa jaooon ge time per,optimism
Yehi sb s sasta hy.ly liya hy ab mene.,neutral
Ye apka msg mje abi mila hai ya ap ne kia abi hai???,anticipation
"Yara WO dharny k logon ko IMRAN khan Aur Qadri NY prime minister house k bhr dhrny k liye kaha Jo pehly parliament k bhr dharna day rahy thy Aur jub WO log aagy Jana shuru howy to police ko order day k government NY shelling Aur firing krwa di hai,,,",fear
Sir kamran best option hain is wakt,optimism
acha baji laaar q rai hoooo,anger
Yr aja aj rush bht h ga reg krwane ha ,fear
Yara tu b Alhamdulillah achyy marks lay gya hai.!!,optimism
Dear koi bat nahe tumari b class the. Bhai aise he corporation se kam chalna hai,love
Han kra dyn kra sakti hn to,trust
Riwind road pe hi hai na,trust
Han kiya hoa koi masla ha kiya,anticipation
Itna time oeeo.   ... Pagal hoogaya hai....soun kat he pressure ghar gaya hai :P ,joy
Yr apni cv to snd jr dy,neutral
Yar mayra program run ho gia ,joy
Hum ja nai saky...rasta band tha.... :'(,sadness
Hum to gari par gaye thy,neutral
When I was on call tab krleti lol. ,joy
Muje un ko sath jana ha.,neutral
Mian g mamo skp chalay gaye ha ?,neutral
Yr jab kray ga tu us k questions k screenshots le k mjhy send kr di meray net ko masla hua hai...,trust
Mama se bt hui apki nae hui to kryn na,anticipation
"Han yr media ethics mje pta hn bt media ko nae pta! :-P   isi liye hm ne almost daily sama pe news dekhi cx geo, ary nd dunya news biasd hn!",joy
Yar class ka kia scene hay??,anticipation
